Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"448 Park Vista Drive, Delaware, OH 43015",40.296168,-83.084832,Buyer,"424,900",01/26/2024,Residential
"3348 Shattuck Avenue, Columbus, OH 43221",40.027343,-83.042085,Buyer,"365,000",01/29/2024,Residential
"2665 Lancaster Kirkersville Road NW, OH 43130",39.763900,-82.617307,Buyer,"269,900",01/29/2024,Residential
"417 Equality Way, Columbus, OH 43119",39.960308,-83.158191,Seller/Listing,"230,000",02/09/2024,Residential
"938 Rarig Avenue, Columbus, OH 43219",39.990586,-82.923370,Buyer,"189,000",02/15/2024,Residential
"3820 Genessee Avenue, OH 43219",40.016872,-82.907594,Buyer,"465,000",02/20/2024,Residential
"2155 Elder Road NE, OH 43130",39.751001,-82.491356,Buyer,"180,000",02/23/2024,Residential
"7415 Blacks Road SW, OH 43062",39.998714,-82.625731,Buyer,"449,900",02/29/2024,Residential
"5310 Royal Arch Cascade Drive, Columbus, OH 43016",40.059852,-83.169256,Seller/Listing,"245,000",03/06/2024,Residential
"1062 Balmoral Drive, Delaware, OH 43015",40.248735,-83.024459,Buyer,"575,000",03/28/2024,Residential
"8155 Pacos Court, Columbus, OH 43065",40.123714,-83.067734,Buyer,"315,000",03/29/2024,Residential
"5672 Burntwood Way, Columbus, OH 43081",40.091327,-82.885416,Seller/Listing,"401,000",04/04/2024,Residential
"163 E Central Avenue, Delaware, OH 43015",40.301130,-83.059742,Buyer,"300,000",04/08/2024,Residential
"512 Foxtrail Circle W, Westerville, OH 43081",40.112536,-82.933726,Buyer,"220,000",04/12/2024,Residential
"465 Newlove Road, OH 45368",39.916231,-83.674776,Buyer,"568,000",05/06/2024,Residential
"3863 Park Street, Grove City, OH 43123",39.886333,-83.106080,Buyer,"441,375",05/17/2024,Residential
"5199 Redlands Drive, Columbus, OH 43026",40.012144,-83.149148,Seller/Listing,"290,000",05/17/2024,Residential
"6717 New Albany Road E, New Albany, OH 43054",40.103129,-82.800787,Seller/Listing,"599,995",06/04/2024,Residential
"8786 Winding Creek Way, OH 43147",39.918488,-82.750221,Buyer,"680,000",06/05/2024,Residential
"370 Chittenden Avenue, Columbus, OH 43201",39.995326,-82.997102,Buyer,"449,000",06/07/2024,Residential
"9281 Cliff Springs Trail, Columbus, OH 43240",40.154611,-82.971972,Buyer,"355,000",06/11/2024,Residential
"1821 Richmond Road, OH 43223",39.927977,-83.042629,Buyer,"195,000",06/11/2024,Residential
"5274 Cross River Falls Boulevard, Columbus, OH 43016",40.059063,-83.171757,Buyer,"292,000",06/11/2024,Residential
"6259 Buckman Street, OH 43035",40.186114,-82.979157,Seller/Listing,"695,000",06/12/2024,Residential
"891 Dark Star Avenue, Gahanna, OH 43230",40.042793,-82.847765,Buyer,"565,000",06/18/2024,Residential
